YearIncurred,totalIncurred,lossDescription,peril,yearsInsured,stateRisk,postcodeRisk,anzsic2_code,anzsic2_desc,anzsic4_code,anzsic4_desc,occupancy,locality,roofType,wallType,floorType,fireprotecAlarm,fireprotecBlanket,fireprotecFexting,fireprotecHose,fireprotecMonitored,fireprotecMthermal,fireprotecNmonitored,fireprotecNthermal,buildingSI
2012,2919.61,MALICIOUS DAMAGE,Malicious Damage,21,TAS,7021,41,Food Retailing,4110,Supermarket and Grocery Stores,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N,736672.91
2010,705.27,NEC WATER DAMAGE,Water,20,NSW,2033,45,Food and Beverage Services,4511,Cafes and Restaurants,PROPOWNER,SUBSTFRST,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N,239858.27
2010,3568.64,MALICIOUS DAMAGE,Malicious Damage,12,TAS,7112,41,Food Retailing,4110,Supermarket and Grocery Stores,PROPOWNER,SUBSTFRST,OTHMIXED,WOOD,OTHMIXED,N,N,N,N,N,N,N,N,203603.33
2010,108.88,MALICIOUS DAMAGE,Malicious Damage,8,TAS,7248,41,Food Retailing,4122,Fruit and Vegetable Retailing,PROPOWNER,SUBSTFRST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N,174660.65
2010,1002.61,NEC WATER DAMAGE,Water,16,WA,6104,32,Construction Services,3243,Tiling and Carpeting Services,PROPOWNER,SUBSTFRST,OTHMIXED,BRICK,OTHMIXED,N,N,N,N,N,N,N,N,5355696.18
2014,4034.20,OVERFLOW/DEFECT IN WATER APPAR,Water,20,WA,6104,82,"Adult, Community and Other Education",8219,"Adult, Community and Other Education n.e.c.",PROPOWNER,CONVERSION,ALLOYSTEEL,IRONSTEFR,CONCRETE,N,N,Y,Y,N,N,N,N,7217477.16
2010,3234.89,MALICIOUS DAMAGE,Malicious Damage,20,QLD,4814,24,Machinery and Equipment Manufacturing,2469,Other Specialised Machinery and Equipment Manufacturing,PROPOWNER,INDUST,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N,271401.88
2014,5848.10,IMPACT TO BUILDING/STRUCTURE,Impact by Third Party,25,VIC,3125,41,Food Retailing,4129,Other Specialised Food Retailing,PROPOWNER,CONVERSION,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N,238073.54
2011,634.61,MALICIOUS DAMAGE,Malicious Damage,21,VIC,3185,42,Other Store-Based Retailing,4251,Clothing Retailing,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N,1157768.55
2011,6636.31,MALICIOUS DAMAGE,Malicious Damage,21,VIC,3185,70,Computer System Design and Related Services,7000,Computer System Design and Related Services,PROPOWNER,MAINRD,ALLOYSTEEL,BRICK,CONCRETE,N,N,N,N,N,N,N,N,236176.76
